CommunityCode,Secotrs,Population,SectorCommunityName,SectorCommunityNameArabic
101,Sector 1,2,NAKHLAT DEIRA,نخلة ديرة
111,Sector 1,1550,AL CORNICHE,الكورنيش
112,Sector 1,6621,AL RASS,الرأس
113,Sector 1,14963,AL DHAGAYA,الضغاية
114,Sector 1,2563,AL BUTEEN,البطين
115,Sector 1,3750,AL SABKHA,السبخة
116,Sector 1,18512,AYAL NASIR,عيال ناصر
117,Sector 1,37371,AL MURAR,المرر
118,Sector 1,47497,NAIF,نايف
119,Sector 1,9976,AL REGA,الرقة
121,Sector 1,14,CORNICHE DEIRA,كورنيش ديرة
122,Sector 1,23838,AL BARAHA,البراحة
123,Sector 1,42804,AL MUTEENA,المطينة
124,Sector 1,68058,AL MURQABAT,المرقبات
125,Sector 1,6690,REGA AL BUTEEN,رقة البطين
126,Sector 1,15878,ABU HAIL,ابو هيل
127,Sector 1,79735,HOR AL ANZ,هورالعنز
128,Sector 1,1775,AL KHBEESI,الخبيصي
129,Sector 1,12513,PORT SAEED,بور سعيد
131,Sector 1,460,AL HAMRIYA PORT,ميناء الحمرية
132,Sector 1,19388,AL WAHEDA,الوحيدة
133,Sector 1,19961,HOR AL ANZ EAST,هور العنز شرق
134,Sector 1,13218,AL MAMZER,الممزر
213,Sector 2,2790,NAD SHAMMA,ند شما
214,Sector 2,17254,AL GARHOUD,القرهود
215,Sector 2,2829,UM RAMOOL,ام رمول
216,Sector 2,33719,AL RASHIDIYA,الراشدية
221,Sector 2,22,DUBAI  AIRPORT,مطار دبي الدولي
226,Sector 2,10250,AL TWAR FIRST,الطوار الأولى
227,Sector 2,4378,AL TWAR SECOND,الطوار الثانية
228,Sector 2,9851,AL TWAR THIRD,الطوار الثالثة
231,Sector 2,23760,AL NAHDA FIRST,النهدة الأولى
232,Sector 2,41225,AL QUSAIS FIRST,القصيص الأولى
233,Sector 2,11144,AL QUSAIS SECOND,القصيص الثانية
234,Sector 2,6480,AL QUSAIS THIRD,القصيص الثالثة
241,Sector 2,54678,AL NAHDA SECOND,النهدة الثانية
242,Sector 2,8181,AL QUSAIS IND. FIRST,القصيص الصناعية الأولى
243,Sector 2,7875,AL QUSAIS IND. SECOND,القصيص الصناعية الثانية
244,Sector 2,5950,MUHAISANAH THIRD,محيصنة الثالثة
245,Sector 2,27848,MUHAISANAH FOURTH,محيصنة الرابعة
246,Sector 2,2335,AL QUSAIS IND. THIRD,القصيص الصناعية الثالثة
247,Sector 2,2188,AL QUSAIS IND. FOURTH,القصيص الصناعية الرابعة
248,Sector 2,600,AL QUSAIS IND FIFTH,القصيص الصناعية الخامسة
251,Sector 2,57668,MURDAF,مردف
252,Sector 2,63,MUSHRAIF,مشرف
261,Sector 2,7023,MUHAISANAH FIRST,محيصنة الأولى
262,Sector 2,15182,AL MEZHAR FIRST,المزهر الأولى
263,Sector 2,10463,AL MEZHAR SECOND,المزهر الثانية
264,Sector 2,202918,MUHAISANAH SECOND ,محيصنة الثانية 
265,Sector 2,12068,OUD AL MUTEEN FIRST,عود المطينة الأولى
266,Sector 2,4780,OUD AL MUTEEN SECOND ,عود المطينة الثانية 
267,Sector 2,2,MUHAISANAH FIFTH,محصينة الخامسة 
268,Sector 2,6110,OUD AL MUTEEN THIRD ,عود المطينة الثالثة
271,Sector 2,3120,WADI ALAMRADI,وادي العمردي
281,Sector 2,11169,AL KHAWANEEJ ONE,الخوانيج الأولى
282,Sector 2,2786,AL KHAWANEEJ TWO,الخوانيج الثانية
283,Sector 2,1690,AL AYAS,العياص
284,Sector 2,805,AL TTAY,الطي
302,Sector 3,20,JUMEIRA BAY,شاطئ جميرا
303,Sector 3,4,WORLD ISLANDS,جزر العالم
304,Sector 3,3,JUMEIRA ISLAND 2,جزيرة جميرا 2
311,Sector 3,2,AL SHANDAGA,الشندغة
312,Sector 3,44783,AL SUQ AL KABEER,السوق الكبير
313,Sector 3,31957,AL HAMRIYA,الحمرية
314,Sector 3,5118,UM HURAIR FIRST,ام هرير الأولى
315,Sector 3,4579,UM HURAIR SECOND,ام هرير الثانية
316,Sector 3,41266,AL RAFFA,الرفاعة
317,Sector 3,36808,AL MANKHOOL,المنخول
318,Sector 3,69095,AL KARAMA,الكرامة
319,Sector 3,13364,OUD METHA,عود ميثاء
321,Sector 3,8294,MADINAT DUBAI AL MELAHEYAH (AL MINA),مدينه دبي الملاحيه (الميناء)
322,Sector 3,12164,AL HUDAIBA,الحضيبة
323,Sector 3,21072,AL JAFLIYA,الجافلية
324,Sector 3,2,AL KIFAF,الكفاف
325,Sector 3,2861,ZAABEEL FIRST,زعبيل الأولى
326,Sector 3,1053,AL JADAF,الجداف
332,Sector 3,17083,JUMEIRA FIRST,جميرا الأولى
333,Sector 3,51467,AL BADA,البدع
334,Sector 3,40228,AL SATWA,السطوة
335,Sector 3,14499,TRADE CENTER FIRST,المركز التجاري الأولى
336,Sector 3,11755,TRADE CENTER SECOND,المركز التجاري الثانية
337,Sector 3,6806,ZAABEEL SECOND,زعبيل الثانية
